               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.038754,            0.044692,           0.0087455,             0.50928,              0.3053,             0.33699,             0.18075,            0.043098,             0.04013,            0.012175,            0.008812,            0.008812,            0.008812
                  38,            0.039134,            0.046347,           0.0081376,             0.50626,             0.40857,             0.35175,             0.19386,            0.042281,            0.039601,            0.011608,            0.008779,            0.008779,            0.008779
                  39,             0.03852,            0.045929,            0.008047,             0.45752,             0.45903,             0.36598,             0.18627,            0.042191,             0.03955,            0.012047,            0.008746,            0.008746,            0.008746
                  40,            0.038533,            0.045272,           0.0082235,             0.43298,             0.42142,             0.35444,              0.1968,             0.04165,            0.037989,            0.012595,            0.008713,            0.008713,            0.008713
                  41,             0.03801,            0.046006,            0.008251,             0.49159,              0.3286,             0.32003,             0.17342,            0.043279,            0.040362,            0.011961,             0.00868,             0.00868,             0.00868
                  42,            0.038407,            0.045746,           0.0081725,             0.50294,             0.29966,             0.32779,             0.17624,            0.042901,            0.038959,            0.011936,            0.008647,            0.008647,            0.008647
                  43,            0.038184,            0.043376,           0.0079508,             0.49156,             0.34034,             0.35544,             0.19015,            0.042315,             0.03963,            0.010711,            0.008614,            0.008614,            0.008614
                  44,            0.037117,             0.04431,           0.0073984,             0.51108,             0.45417,             0.40137,             0.20053,            0.041896,            0.040208,            0.010237,            0.008581,            0.008581,            0.008581
                  45,            0.038604,            0.045445,           0.0067645,             0.46117,             0.43929,              0.3828,             0.20355,             0.04223,            0.039669,            0.011548,            0.008548,            0.008548,            0.008548
                  46,            0.037296,            0.042723,           0.0075803,             0.51269,             0.32174,             0.33219,             0.18005,            0.041749,            0.040206,            0.014351,            0.008515,            0.008515,            0.008515
                  47,            0.037329,            0.043791,           0.0076393,             0.61014,             0.29936,             0.35292,             0.18627,            0.040517,            0.039234,            0.011014,            0.008482,            0.008482,            0.008482
                  48,             0.03723,            0.043777,           0.0077841,             0.54065,              0.3037,             0.33585,             0.17496,            0.041829,            0.038112,            0.010235,            0.008449,            0.008449,            0.008449
                  49,            0.037168,            0.044083,           0.0071276,             0.45554,             0.34878,             0.33702,             0.18778,            0.041367,            0.038518,            0.009563,            0.008416,            0.008416,            0.008416
                  50,             0.03755,            0.044673,           0.0073873,             0.50339,             0.33576,             0.34267,             0.18763,            0.040983,            0.039175,           0.0093112,            0.008383,            0.008383,            0.008383
                  51,            0.036585,            0.042921,           0.0068796,             0.56705,             0.32289,             0.33349,             0.18789,            0.042123,            0.038788,             0.01227,             0.00835,             0.00835,             0.00835
                  52,            0.036973,            0.043671,           0.0069777,             0.47096,             0.32893,             0.34165,             0.19105,            0.042664,            0.040292,            0.013383,            0.008317,            0.008317,            0.008317
                  53,            0.036505,            0.042741,           0.0068093,             0.48194,             0.31123,             0.35082,             0.19071,            0.040638,            0.039965,            0.016048,            0.008284,            0.008284,            0.008284
                  54,            0.036539,            0.043229,           0.0065922,             0.48332,             0.44018,              0.3632,             0.20096,            0.040216,             0.03953,            0.012923,            0.008251,            0.008251,            0.008251
                  55,            0.036233,            0.042578,           0.0066436,             0.55756,             0.28428,             0.33467,             0.19124,             0.04081,            0.040507,            0.012132,            0.008218,            0.008218,            0.008218
